Year,YearCode,Country me,Country Code,ari,adjsav_eduexp,ado_fert_rate,agedep_work,agedep_young,agrland,brate,gen_eq_rate,gov_debt,fert_rate,c_gdp,grow_gdp,percap_gdp,gini,percap_healthexp,healthexp_gdp,ishare_low20,de_gdp,lifeexp_f,lifeexp_m,lifeexp,mortrate_inf,mortrate_un5,mortrate_un5f,mortrate_un5m,grow_pop,immu_dpt,immu_mea,hiv_fe15up
2010,YR2010,Afghanistan,AFG,,,99.0956,103.1196255,98.72202557,58.12366803,37.952,2,,5.659,10243250246,8.433290483,1183.045192,,44.18755767,2.352934012,,9.437794759,60.877,58.384,59.60009756,74.3,103.7,100.4,106.7,2.458417085,66,62,35.4
2010,YR2010,Albania,ALB,,2.842803983,16.9946,49.09844562,34.03620988,43.84306569,12.607,,,1.741,10725150216,3.5,7791.755363,,220.2285618,2.532118389,,3.45934259,80.149,73.959,76.9785122,16.1,18.1,16.3,19.7,-0.033072394,99,99,
2010,YR2010,Algeria,DZA,,4.467195632,9.894599,46.74161021,39.79643005,17.3709137,24.514,,,2.817,1.17E+11,3.6,7249.23081,,198.1556376,3.46547982,,16.11997643,72.229,69.081,70.61660976,18.4,21.5,19,23.8,1.850437766,95,95,66.4
2010,YR2010,American Samoa,ASM,,,,,,24.5,,,,,,,,,,,,,,,,,,,,-1.08866745,,,
2010,YR2010,Andorra,ADO,,2.88915,,,,42.76595745,9.8,,,1.22,,,,,2957.555643,5.288827408,,,,,,2.9,3.5,3.1,3.8,-0.960624635,99,99,
2010,YR2010,Angola,AGO,,3.51677,178.994,100.9154763,96.05088401,46.83564611,46.327,3.5,,6.218,50371160616,3.407643628,5048.113176,,146.1098503,2.061268093,,22.39392353,52.138,49.241,50.65417073,104.6,173.1,164.5,181.1,3.235949546,91,93,58.8
2010,YR2010,Antigua and Barbuda,ATG,,2.15941,51.755,50.30065907,39.42865982,20.45454545,16.966,,,2.13,1009445957,-7.738048039,17610.21611,,771.3825134,4.196068792,,-0.01076741,77.795,72.99,75.33390244,9.8,10.6,9.4,11.7,1.07531016,98,98,
2010,YR2010,Argenti,ARG,,6.00979,55.3724,55.0337578,38.56671016,53.61111416,17.188,,,2.215,,,,44.49,759.2994333,5.336252936,4.38,,79.462,72.046,75.66356098,13.3,14.8,13.3,16.3,0.872125702,94,98,32.7
2010,YR2010,Armenia,ARM,56.8,2.219690404,27.4816,45.05936088,29.75886946,60.91994382,14.14,4.5,,1.738,7611465936,2.2,6582.659928,31.3,133.7855992,1.811066442,8.82,7.768715481,77.657,70.946,74.21965854,16.2,18.2,16.1,20.2,-0.157055826,94,97,16.4
2010,YR2010,Aruba,ABW,,5.51976,29.2944,45.15723299,30.20673986,11.11111111,10.804,,,1.701,,,,,,,,,77.429,72.593,74.95202439,,,,,0.176341695,,,
2010,YR2010,Australia,AUS,,4.77535,13.6454,47.90993233,28.01903413,51.88289965,13.12014792,,29.34143459,1.87,7.99E+11,2.087575995,34620.92336,,5173.502443,6.190147313,,0.886791258,84,79.5,81.69512195,4.2,5,4.4,5.6,1.306921925,92,94,21.8
